Black,St Louis,Midwest,St Louis Metropolitan Police Department,Gunshot,yes
Black,Hagerstown,Southeast,Hagerstown Police Department,Taser,yes
White,Boiling Springs,Southeast,Spartanburg County Sheriff s Office,Gunshot,yes
White,Hamilton Township,Northeast,Hamilton Police Department,Gunshot,yes
White,Boise,West,Boise Police Department,Gunshot,yes
Black,Zion,Midwest,Zion Police Department,Gunshot,yes
Asian/Pacific Islander,Honolulu,West,US Marshals Service,Gunshot,No
Black,Fort Worth,Southwest,Fort Worth Police Department,Gunshot,No
Black,Columbus,Midwest,Columbus Police Department  Ohio State Highway Patrol,Gunshot,No
Black,Savannah,Southeast,Chatham County Sheriff s Office,Death in custody,yes
Black,Cerritos,West,Los Angeles County Sheriff s Department,Gunshot,yes
White,Rockwood,Midwest,Gibraltar Police Department,Taser,yes
White,Muskogee County,Southwest,Warner Police Department,Taser,yes
Black,Chesapeake,Southeast,Chesapeake City Police Department,Gunshot,yes
Black,Lancaster,Northeast,Lancaster Police Department,Gunshot,yes
White,Smyrna,Southeast,Smyrna Police Department,Gunshot,yes
Black,Trinidad,West,Trinidad Police Department,Gunshot,yes
Hispanic/Latino,Baytown,Southwest,Baytown Police Department,Gunshot,yes
White,Victoria,Southwest,Victoria Police Department,Gunshot,yes
Black,Anaheim,West,Anaheim Police Department,Gunshot,yes
White,Apple Valley,West,San Bernardino County Sheriff s Department,Gunshot,yes
Black,Columbus,Midwest,Columbus Police Department,Gunshot,yes
Hispanic/Latino,Hackensack,Northeast,Hackensack Police Department,Gunshot,yes
White,Charleston,Southeast,North Charleston Police Department,Gunshot,yes
Hispanic/Latino,San Antonio,Southwest,San Antonio Police Department,Gunshot,yes
Black,Memphis,Southeast,Shelby County Sheriff s Department [US Marshals Service Task Force],Gunshot,yes
White,Ville Platte,Southeast,Evangeline Parish Sheriff s Office,Gunshot,yes
White,Tempe,Southwest,Tempe Police Department,Gunshot,yes
Black,Oxnard,West,Oxnard Police Department,Gunshot,No
White,Rosenberg,Southwest,Rosenburg Police Department,Gunshot,yes
Unknown,Middletown,Northeast,Monmouth County Emergency Response Team,Gunshot,yes
Hispanic/Latino,Burbank,West,Los Angeles Police Department,Gunshot,yes
Black,Arlington,Southwest,Arlington Police Department,Death in custody,No
Hispanic/Latino,Levelland,Southwest,Levelland Police Department,Gunshot,No
Asian/Pacific Islander,Minneapolis,Midwest,Brooklyn Center Police Department,Taser,yes
Black,Randallstown,Southeast,Baltimore County Police Department,Gunshot,yes
Black,Omaha,Midwest,Omaha Police Department,Gunshot,No
Hispanic/Latino,Los Angeles,West,Los Angeles Police Department,Gunshot,No
Asian/Pacific Islander,South El Monte,West,Los Angeles County Sheriff s Department,Gunshot,yes
White,Follansbee,Southeast,West Virginia State Police,Gunshot,No
Black,Fridley,Midwest,Lino Lakes Police Department,Gunshot,No
Black,Fort Lauderdale,Southeast,Fort Lauderdale Police Department,Gunshot,Unknown
Hispanic/Latino,Houston,Southwest,Houston Police Department,Gunshot,yes
Black,Northglenn,West,Northglenn Police Department,Gunshot,yes
Hispanic/Latino,Napa,West,Napa Police Department,Gunshot,yes
White,Essex,Southeast,Baltimore County Police Department,Gunshot,yes
Hispanic/Latino,Delano,West,California Department of Corrections and Rehabilitation,Gunshot,yes
White,Crown Point,Midwest,Lake County Sheriff s Department,Taser,yes
White,Vancouver,West,Clark County Sheriff s Department,Death in custody,yes
Hispanic/Latino,Orlando,Southeast,Orlando Police Department,Gunshot,yes
Black,Dallas,Southwest,Dallas Police Department,Gunshot,yes
White,Stillwater,Southwest,Stillwater Police Department,Gunshot,yes
Hispanic/Latino,Bisbee,Southwest,Bisbee Police Department,Gunshot,yes
Black,Aurora,West,Aurora Police Department,Gunshot,No
White,Robertsville,Midwest,St Louis County Police Department,Gunshot,No
Hispanic/Latino,Clarkesville,Southeast,Habersham County Sheriff s Office,Gunshot,yes
White,Mansfield,Midwest,Mansfield Police Department,Gunshot,yes
Black,Roxbury,Northeast,Boston Police Department,Gunshot,yes
Unknown,Shelton,West,Mason County Sheriff s Office,Gunshot,yes
White,Austin,Southwest,Austin Police Department,Gunshot,No
White,Palestine,Southwest,Palestine Police Department,Gunshot,No
White,Green Ridge,Midwest,Pettis County Sheriff s Office,Gunshot,yes
White,Tampa Bay,Southeast,Tampa Bay Police Department [US Marshals Service Task Force],Gunshot,No
Black,Harvey,Southeast,Jefferson Parish Sheriff s Office,Gunshot,yes
Hispanic/Latino,El Paso,Southwest,El Paso Police Department,Gunshot,yes
Hispanic/Latino,Fairfield,West,Fairfield Police Department,Gunshot,Disputed
White,San Jose,West,San Jose Police Department,Gunshot,yes
Black,Norfolk,Midwest,Norfolk Police Division,Death in custody,No
Hispanic/Latino,Arlington,Southeast,Arlington Police Department,Gunshot,yes
White,Rosemont,Midwest,Rosemont Police Department,Gunshot,yes
Hispanic/Latino,New York,Northeast,New York Police Department,Death in custody,yes
White,Phoenix,Southwest,Phoenix Police Department,Gunshot,yes
White,Old Bridge Township,Northeast,Old Bridge Police Department,Gunshot,yes
White,Pulaski,Southeast,Pulaski Police Department,Gunshot,No
White,Gastonia,Southeast,Gastonia Police Department,Gunshot,yes
White,Marana,Southwest,Marana Police Department,Gunshot,yes
Hispanic/Latino,Ontario,West,Ontario Police Department,Gunshot,yes
Black,Birmingham,Southeast,Birmingham Police Department,Gunshot,No
White,Tewksbury,Northeast,Tewksbury Police Department,Gunshot,No
Black,Memphis,Southeast,Memphis Police Department,Gunshot,yes
White,Craig,West,Moffat County Sheriff s Office and Colorado Parks and Wildlife Law Enforcement,Gunshot,No
Black,Garland,Southwest,Garland Police Department,Gunshot,No
White,Highland,West,Highland Police Department,Death in custody,yes
White,Indianapolis,Midwest,Indianapolis Metropolitan Police Department,Gunshot,yes
Native American,Tonasket,West,US Forest Service ,Taser,yes
Black,Fairfax,Southeast,Fairfax County Sheriff s Office,Taser,No
White,Rochester,Northeast,New York State Police  Monroe County Sheriff s Department and Gates Police Department,Gunshot,yes
Black,Freeport,Southwest,Freeport Police Department,Gunshot,yes
Black,Scottsdale,Southwest,Scottsdale Police Department,Gunshot,yes
Hispanic/Latino,Santa Ana,West,Santa Ana Police Department,Gunshot,yes
Black,Millbrook,Southeast,Millbrook Police Department,Gunshot,No
White,Newalla,Southwest,Oklahoma City Police Department,Gunshot,No
White,Los Angeles,West,Los Angeles Police Department,Struck by vehicle,yes
Asian/Pacific Islander,Garland,Southwest,Garland Police Department,Gunshot,yes
Black,Baltimore,Southeast,Baltimore Police Department,Gunshot,yes
Black,Joliet,Midwest,Joliet Police Department,Gunshot,yes
Black,North Charleston,Southeast,North Charleston Police Department,Gunshot,yes
White,Sunnyvale,West,Sunnyvale Police Department,Gunshot,yes
